Scenario,Traffic,Runs,Avg RPS,Avg Latency (ms),P50 (ms),P95 (ms),P99 (ms),Max (ms),Avg Reqs,Avg Fails
Static-K2,Stable,2,0.59,687.3,630,1005,1180,1239.6,178,0.0
Static-K2,Ramp,2,1.61,3388.6,2900,7400,11900,15439.3,769,4.0
Static-K2,Spike Recovery,3,1.59,728.6,517,1767,2167,2541.5,466,0.0
Static-K4,Stable,2,1.61,352.1,395,440,550,598.8,244,0.5
Static-K4,Ramp,1,7.35,690.2,600,1500,2000,3045.2,3525,1.0
Static-K4,Spike Recovery,3,3.02,529.2,333,1333,1767,2571.9,1271,0.0
Static-K8,Stable,1,1.98,1000.9,280,7200,7500,7807.3,583,1.0
Static-K8,Ramp,1,8.5,1123.6,500,7300,8400,15597.4,4080,1.0
Static-K8,Spike Recovery,3,3.95,1316.9,417,7500,12700,15096.5,1640,0.0
Reactive-HPA,Stable,3,1.05,917.3,303,6533,8300,10715.0,313,0.0
Reactive-HPA,Ramp,3,7.8,2005.5,1100,8533,11833,27915.3,3739,1.67
Reactive-HPA,Spike Recovery,3,1.86,2835.1,960,9633,13333,40035.7,784,1.33
Proactive-AI,Stable,3,0.99,1034.8,333,7400,10000,22818.0,291,0.0
Proactive-AI,Ramp,3,4.85,2139.9,727,8767,22667,47099.4,2316,1.33
Proactive-AI,Spike Recovery,3,2.84,1699.8,670,6467,10000,19438.7,879,0.67
