Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776552081,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776552082,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776552083,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776552084,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776552085,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776552086,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776552087,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776552088,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776552089,2,POST,/collect,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,7424.650825094432,7441.1205591168255,7424.650825094432,7457.590293139219,104.5
1776552089,2,,Aggregated,0.000000,0.000000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,2,0,7424.650825094432,7441.1205591168255,7424.650825094432,7457.590293139219,104.5
1776552090,2,POST,/collect,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,7400,5042.1380988166975,244.17317821644247,7457.590293139219,104.66666666666667
1776552090,2,,Aggregated,0.000000,0.000000,7400,7400,7500,7500,7500,7500,7500,7500,7500,7500,7500,3,0,7400,5042.1380988166975,244.17317821644247,7457.590293139219,104.66666666666667
1776552091,2,POST,/collect,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552091,2,,Aggregated,0.000000,0.000000,7400,7400,7500,7500,7500,7500,7500,7500,7500,7500,7500,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552092,2,POST,/collect,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552092,2,,Aggregated,0.000000,0.000000,7400,7400,7500,7500,7500,7500,7500,7500,7500,7500,7500,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552093,2,POST,/collect,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552093,2,,Aggregated,0.000000,0.000000,7400,7400,7500,7500,7500,7500,7500,7500,7500,7500,7500,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552094,2,POST,/collect,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552094,2,,Aggregated,0.000000,0.000000,7400,7400,7500,7500,7500,7500,7500,7500,7500,7500,7500,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552095,2,POST,/collect,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552095,2,,Aggregated,0.000000,0.000000,7400,7400,7500,7500,7500,7500,7500,7500,7500,7500,7500,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552096,2,POST,/collect,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552096,2,,Aggregated,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
1776552097,2,POST,/collect,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,4,0,270,3848.9803218399175,244.17317821644247,7457.590293139219,104.75
