time,users,rps,p95,p99,avg_lat,threshold
0,0.0,0.0,,,0.0,2.0 (Aggressive)
1,2.0,0.0,0.0,0.0,469.8633252992295,2.0 (Aggressive)
2,2.0,0.0,490.0,490.0,469.8633252992295,2.0 (Aggressive)
3,2.0,0.0,490.0,490.0,363.97507280344144,2.0 (Aggressive)
4,2.0,0.5,490.0,490.0,353.12130698002875,2.0 (Aggressive)
5,2.0,0.5,490.0,490.0,349.69383949646726,2.0 (Aggressive)
6,2.0,0.625,490.0,490.0,344.0586462060714,2.0 (Aggressive)
7,2.0,0.6,490.0,490.0,335.787916042715,2.0 (Aggressive)
8,2.0,0.6666665,490.0,490.0,330.13232208591387,2.0 (Aggressive)
9,2.0,0.8333330000000001,3840.0,3840.0,2000.0462609079057,2.0 (Aggressive)
10,2.0,0.830357,3840.0,3840.0,1665.8047006465492,2.0 (Aggressive)
11,2.0,0.847222,3700.0,3700.0,1287.2016354948366,2.0 (Aggressive)
12,2.0,0.872222,3700.0,3700.0,1074.2988018273359,2.0 (Aggressive)
13,2.0,0.972222,3700.0,3700.0,1071.5816593831078,2.0 (Aggressive)
14,2.0,0.95,3700.0,3700.0,958.8567252175628,2.0 (Aggressive)
15,2.0,1.0499999999999998,3655.0,3655.0,858.4847782102311,2.0 (Aggressive)
16,2.0,1.15,3655.0,3655.0,818.8647988669496,2.0 (Aggressive)
17,2.0,1.2,3680.0,3680.0,785.4026569020696,2.0 (Aggressive)
18,2.0,1.3,475.0,475.0,742.2354614865826,2.0 (Aggressive)
19,2.0,1.3,480.0,480.0,742.7943524982322,2.0 (Aggressive)
20,2.0,1.4,550.0,550.0,703.1326704627933,2.0 (Aggressive)
21,2.0,1.45,550.0,550.0,671.4169191571793,2.0 (Aggressive)
22,2.0,1.5,550.0,550.0,670.8275474052282,2.0 (Aggressive)
23,2.0,1.45,530.0,530.0,638.1051891717643,2.0 (Aggressive)
24,2.0,1.5,530.0,530.0,610.8228256623261,2.0 (Aggressive)
25,2.0,1.45,530.0,530.0,600.9776945172164,2.0 (Aggressive)
26,2.0,1.5,530.0,530.0,590.2120558378497,2.0 (Aggressive)
27,2.0,1.45,530.0,530.0,589.1166819518646,2.0 (Aggressive)
28,2.0,1.45,430.0,430.0,587.9899700091828,2.0 (Aggressive)
29,2.0,1.45,430.0,430.0,586.8893376818893,2.0 (Aggressive)
30,2.0,1.25,2180.0,2180.0,640.64842978509,2.0 (Aggressive)
31,2.0,1.3,2165.0,2165.0,639.721537237901,2.0 (Aggressive)
32,2.0,1.35,2175.0,2175.0,630.1134092441448,2.0 (Aggressive)
33,2.0,1.2000000000000002,3985.0,3985.0,730.3995675104566,2.0 (Aggressive)
34,2.0,1.15,3985.0,3985.0,707.05449630426,2.0 (Aggressive)
35,2.0,1.2000000000000002,3985.0,3985.0,685.6337953791289,2.0 (Aggressive)
36,2.0,1.25,3985.0,3985.0,674.9140656667582,2.0 (Aggressive)
