RAW_DATA | iomt-2824 | execution_time: 0.294091s | queueing_delay: 0.001298s
RAW_DATA | iomt-2824 | execution_time: 0.208159s | queueing_delay: 0.000870s
RAW_DATA | iomt-2824 | execution_time: 0.242118s | queueing_delay: 0.000686s
RAW_DATA | iomt-2824 | execution_time: 0.273535s | queueing_delay: 0.000793s
RAW_DATA | iomt-2824 | execution_time: 0.244647s | queueing_delay: 0.000988s
RAW_DATA | iomt-2824 | execution_time: 0.256151s | queueing_delay: 0.000731s
RAW_DATA | iomt-2824 | execution_time: 0.241107s | queueing_delay: 0.000654s
RAW_DATA | iomt-2824 | execution_time: 0.248319s | queueing_delay: 0.000811s
RAW_DATA | iomt-2824 | execution_time: 0.300848s | queueing_delay: 0.000683s
RAW_DATA | iomt-2824 | execution_time: 0.247018s | queueing_delay: 0.000616s
RAW_DATA | iomt-2824 | execution_time: 0.217020s | queueing_delay: 0.000604s
RAW_DATA | iomt-2824 | execution_time: 0.259919s | queueing_delay: 0.005623s
RAW_DATA | iomt-2824 | execution_time: 0.289690s | queueing_delay: 0.000831s
RAW_DATA | iomt-2824 | execution_time: 0.261640s | queueing_delay: 0.001288s
RAW_DATA | iomt-2824 | execution_time: 0.267496s | queueing_delay: 0.000763s
RAW_DATA | iomt-2824 | execution_time: 0.297404s | queueing_delay: 0.000797s
RAW_DATA | iomt-2824 | execution_time: 0.298239s | queueing_delay: 0.000569s
RAW_DATA | iomt-2824 | execution_time: 0.215457s | queueing_delay: 0.000565s
RAW_DATA | iomt-2824 | execution_time: 0.240015s | queueing_delay: 0.000731s
RAW_DATA | iomt-2824 | execution_time: 0.301985s | queueing_delay: 0.000576s
RAW_DATA | iomt-2824 | execution_time: 0.254277s | queueing_delay: 0.000622s
RAW_DATA | iomt-2824 | execution_time: 0.252550s | queueing_delay: 0.000793s
RAW_DATA | iomt-2824 | execution_time: 0.283373s | queueing_delay: 0.000708s
RAW_DATA | iomt-2824 | execution_time: 0.250052s | queueing_delay: 0.000643s
RAW_DATA | iomt-2824 | execution_time: 0.241970s | queueing_delay: 0.000684s
RAW_DATA | iomt-2824 | execution_time: 0.292812s | queueing_delay: 0.000753s
RAW_DATA | iomt-2824 | execution_time: 0.286290s | queueing_delay: 0.000883s
RAW_DATA | iomt-2824 | execution_time: 0.252992s | queueing_delay: 0.000736s
RAW_DATA | iomt-2824 | execution_time: 0.244590s | queueing_delay: 0.000869s
RAW_DATA | iomt-2824 | execution_time: 0.245047s | queueing_delay: 0.000706s
RAW_DATA | iomt-2824 | execution_time: 0.242923s | queueing_delay: 0.000710s
RAW_DATA | iomt-2824 | execution_time: 0.244180s | queueing_delay: 0.000739s
RAW_DATA | iomt-2824 | execution_time: 0.254205s | queueing_delay: 0.000685s
RAW_DATA | iomt-2824 | execution_time: 0.209877s | queueing_delay: 0.000669s
RAW_DATA | iomt-2824 | execution_time: 0.301327s | queueing_delay: 0.001384s
RAW_DATA | iomt-2824 | execution_time: 0.246866s | queueing_delay: 0.000646s
RAW_DATA | iomt-2824 | execution_time: 0.237658s | queueing_delay: 0.000675s
RAW_DATA | iomt-2824 | execution_time: 0.244837s | queueing_delay: 0.000688s
RAW_DATA | iomt-2824 | execution_time: 0.246847s | queueing_delay: 0.000530s
RAW_DATA | iomt-2824 | execution_time: 0.254323s | queueing_delay: 0.000837s
RAW_DATA | iomt-2824 | execution_time: 0.243039s | queueing_delay: 0.000565s
RAW_DATA | iomt-2824 | execution_time: 0.244633s | queueing_delay: 0.000706s
RAW_DATA | iomt-2824 | execution_time: 0.242639s | queueing_delay: 0.000589s
RAW_DATA | iomt-2127 | execution_time: 0.430297s | queueing_delay: 0.000644s
RAW_DATA | iomt-2824 | execution_time: 0.415954s | queueing_delay: 0.013437s
RAW_DATA | iomt-3546 | execution_time: 0.251261s | queueing_delay: 0.000705s
RAW_DATA | iomt-3647 | execution_time: 0.251656s | queueing_delay: 0.000664s
RAW_DATA | iomt-2824 | execution_time: 0.491130s | queueing_delay: 0.000726s
RAW_DATA | iomt-2127 | execution_time: 0.555552s | queueing_delay: 0.001620s
RAW_DATA | iomt-3546 | execution_time: 0.243582s | queueing_delay: 0.000702s
RAW_DATA | iomt-2127 | execution_time: 0.261200s | queueing_delay: 0.000788s
RAW_DATA | iomt-2824 | execution_time: 0.341174s | queueing_delay: 0.000923s
RAW_DATA | iomt-3647 | execution_time: 0.286493s | queueing_delay: 0.000683s
RAW_DATA | iomt-3546 | execution_time: 0.393448s | queueing_delay: 0.006183s
RAW_DATA | iomt-2127 | execution_time: 0.242301s | queueing_delay: 0.000560s
RAW_DATA | iomt-3647 | execution_time: 0.234143s | queueing_delay: 0.000734s
RAW_DATA | iomt-2824 | execution_time: 0.398859s | queueing_delay: 0.000423s
RAW_DATA | iomt-3546 | execution_time: 0.337772s | queueing_delay: 0.006985s
RAW_DATA | iomt-3647 | execution_time: 0.226054s | queueing_delay: 0.000678s
RAW_DATA | iomt-2127 | execution_time: 0.293747s | queueing_delay: 0.000752s
RAW_DATA | iomt-2824 | execution_time: 0.218062s | queueing_delay: 0.000776s
RAW_DATA | iomt-3546 | execution_time: 0.206024s | queueing_delay: 0.000889s
RAW_DATA | iomt-3647 | execution_time: 0.298970s | queueing_delay: 0.000453s
RAW_DATA | iomt-2127 | execution_time: 0.246453s | queueing_delay: 0.000664s
RAW_DATA | iomt-3546 | execution_time: 0.326317s | queueing_delay: 0.000693s
RAW_DATA | iomt-2824 | execution_time: 0.423768s | queueing_delay: 0.057528s
RAW_DATA | iomt-3647 | execution_time: 0.348525s | queueing_delay: 0.040306s
RAW_DATA | iomt-2127 | execution_time: 0.260305s | queueing_delay: 0.000642s
RAW_DATA | iomt-3546 | execution_time: 0.247086s | queueing_delay: 0.000765s
RAW_DATA | iomt-3647 | execution_time: 0.278208s | queueing_delay: 0.000685s
RAW_DATA | iomt-2127 | execution_time: 0.287974s | queueing_delay: 0.000722s
RAW_DATA | iomt-2824 | execution_time: 0.400835s | queueing_delay: 0.000854s
RAW_DATA | iomt-3546 | execution_time: 0.222998s | queueing_delay: 0.000783s
RAW_DATA | iomt-3647 | execution_time: 0.249088s | queueing_delay: 0.000880s
RAW_DATA | iomt-2824 | execution_time: 0.238352s | queueing_delay: 0.000601s
RAW_DATA | iomt-2127 | execution_time: 0.291471s | queueing_delay: 0.000587s
RAW_DATA | iomt-3546 | execution_time: 0.487528s | queueing_delay: 0.000684s
RAW_DATA | iomt-3647 | execution_time: 0.497379s | queueing_delay: 0.006952s
RAW_DATA | iomt-2127 | execution_time: 0.247119s | queueing_delay: 0.000623s
RAW_DATA | iomt-2824 | execution_time: 0.271480s | queueing_delay: 0.000750s
RAW_DATA | iomt-3546 | execution_time: 0.406957s | queueing_delay: 0.000678s
RAW_DATA | iomt-2127 | execution_time: 0.247132s | queueing_delay: 0.000771s
RAW_DATA | iomt-3647 | execution_time: 0.602332s | queueing_delay: 0.010602s
