RAW_DATA | iomt-2824 | execution_time: 0.297693s | queueing_delay: 0.000713s
RAW_DATA | iomt-2824 | execution_time: 0.297352s | queueing_delay: 0.000885s
RAW_DATA | iomt-2824 | execution_time: 0.244014s | queueing_delay: 0.000771s
RAW_DATA | iomt-2824 | execution_time: 0.270329s | queueing_delay: 0.000731s
RAW_DATA | iomt-2824 | execution_time: 0.247909s | queueing_delay: 0.000875s
RAW_DATA | iomt-2824 | execution_time: 0.252767s | queueing_delay: 0.000883s
RAW_DATA | iomt-2824 | execution_time: 0.265393s | queueing_delay: 0.000745s
RAW_DATA | iomt-2824 | execution_time: 0.295779s | queueing_delay: 0.000684s
RAW_DATA | iomt-2824 | execution_time: 0.260230s | queueing_delay: 0.000652s
RAW_DATA | iomt-2824 | execution_time: 0.289134s | queueing_delay: 0.000704s
RAW_DATA | iomt-2824 | execution_time: 0.289057s | queueing_delay: 0.000856s
RAW_DATA | iomt-2824 | execution_time: 0.254556s | queueing_delay: 0.000748s
RAW_DATA | iomt-2824 | execution_time: 0.299047s | queueing_delay: 0.000823s
RAW_DATA | iomt-2824 | execution_time: 0.256217s | queueing_delay: 0.000736s
RAW_DATA | iomt-2824 | execution_time: 0.247069s | queueing_delay: 0.000779s
RAW_DATA | iomt-2824 | execution_time: 0.262292s | queueing_delay: 0.000648s
RAW_DATA | iomt-2824 | execution_time: 0.255022s | queueing_delay: 0.000772s
RAW_DATA | iomt-2824 | execution_time: 0.301504s | queueing_delay: 0.000908s
RAW_DATA | iomt-2824 | execution_time: 0.246819s | queueing_delay: 0.000704s
RAW_DATA | iomt-2824 | execution_time: 0.255072s | queueing_delay: 0.000775s
RAW_DATA | iomt-2824 | execution_time: 0.293828s | queueing_delay: 0.000863s
RAW_DATA | iomt-2824 | execution_time: 0.288623s | queueing_delay: 0.000711s
RAW_DATA | iomt-2824 | execution_time: 0.278456s | queueing_delay: 0.000649s
RAW_DATA | iomt-2824 | execution_time: 0.251320s | queueing_delay: 0.000714s
RAW_DATA | iomt-2824 | execution_time: 0.282482s | queueing_delay: 0.000792s
RAW_DATA | iomt-2824 | execution_time: 0.247317s | queueing_delay: 0.000973s
RAW_DATA | iomt-2824 | execution_time: 0.243084s | queueing_delay: 0.000744s
RAW_DATA | iomt-2824 | execution_time: 0.248776s | queueing_delay: 0.000703s
RAW_DATA | iomt-2824 | execution_time: 0.242026s | queueing_delay: 0.000756s
RAW_DATA | iomt-2824 | execution_time: 0.224401s | queueing_delay: 0.000572s
RAW_DATA | iomt-2824 | execution_time: 0.245493s | queueing_delay: 0.000807s
RAW_DATA | iomt-2824 | execution_time: 0.247156s | queueing_delay: 0.000665s
RAW_DATA | iomt-2824 | execution_time: 0.291752s | queueing_delay: 0.000850s
RAW_DATA | iomt-2824 | execution_time: 0.251801s | queueing_delay: 0.000700s
RAW_DATA | iomt-2824 | execution_time: 0.280781s | queueing_delay: 0.000741s
RAW_DATA | iomt-2824 | execution_time: 0.215607s | queueing_delay: 0.000747s
RAW_DATA | iomt-2824 | execution_time: 0.271816s | queueing_delay: 0.000744s
RAW_DATA | iomt-2824 | execution_time: 0.302646s | queueing_delay: 0.000605s
RAW_DATA | iomt-2824 | execution_time: 0.258768s | queueing_delay: 0.000740s
RAW_DATA | iomt-2824 | execution_time: 0.248675s | queueing_delay: 0.000784s
RAW_DATA | iomt-2824 | execution_time: 0.243142s | queueing_delay: 0.000785s
RAW_DATA | iomt-2824 | execution_time: 0.272300s | queueing_delay: 0.000658s
RAW_DATA | iomt-2824 | execution_time: 0.290391s | queueing_delay: 0.000615s
RAW_DATA | iomt-2127 | execution_time: 0.245564s | queueing_delay: 0.000618s
RAW_DATA | iomt-2824 | execution_time: 0.254280s | queueing_delay: 0.000948s
RAW_DATA | iomt-3546 | execution_time: 0.252372s | queueing_delay: 0.000661s
RAW_DATA | iomt-2127 | execution_time: 0.243766s | queueing_delay: 0.000645s
RAW_DATA | iomt-2824 | execution_time: 0.227510s | queueing_delay: 0.000609s
RAW_DATA | iomt-3647 | execution_time: 0.274504s | queueing_delay: 0.000721s
RAW_DATA | iomt-3546 | execution_time: 0.243399s | queueing_delay: 0.000688s
RAW_DATA | iomt-2127 | execution_time: 0.241845s | queueing_delay: 0.000859s
RAW_DATA | iomt-3647 | execution_time: 0.250901s | queueing_delay: 0.000736s
RAW_DATA | iomt-2127 | execution_time: 0.244891s | queueing_delay: 0.000903s
RAW_DATA | iomt-2824 | execution_time: 0.582498s | queueing_delay: 0.000817s
RAW_DATA | iomt-3546 | execution_time: 0.529245s | queueing_delay: 0.000810s
RAW_DATA | iomt-3647 | execution_time: 0.277978s | queueing_delay: 0.000622s
RAW_DATA | iomt-2824 | execution_time: 0.241226s | queueing_delay: 0.000849s
RAW_DATA | iomt-2127 | execution_time: 0.483190s | queueing_delay: 0.000710s
RAW_DATA | iomt-3546 | execution_time: 0.502755s | queueing_delay: 0.032843s
RAW_DATA | iomt-2824 | execution_time: 0.292827s | queueing_delay: 0.000774s
RAW_DATA | iomt-3647 | execution_time: 0.284350s | queueing_delay: 0.000700s
RAW_DATA | iomt-2127 | execution_time: 0.243581s | queueing_delay: 0.000799s
RAW_DATA | iomt-3546 | execution_time: 0.254257s | queueing_delay: 0.000828s
RAW_DATA | iomt-2824 | execution_time: 0.251238s | queueing_delay: 0.000697s
RAW_DATA | iomt-3647 | execution_time: 0.285195s | queueing_delay: 0.001056s
RAW_DATA | iomt-2127 | execution_time: 0.279557s | queueing_delay: 0.000748s
RAW_DATA | iomt-2824 | execution_time: 0.248857s | queueing_delay: 0.000911s
RAW_DATA | iomt-3546 | execution_time: 0.230536s | queueing_delay: 0.000667s
RAW_DATA | iomt-2824 | execution_time: 0.240506s | queueing_delay: 0.000646s
RAW_DATA | iomt-3647 | execution_time: 0.384871s | queueing_delay: 0.000758s
RAW_DATA | iomt-3546 | execution_time: 0.405467s | queueing_delay: 0.000904s
RAW_DATA | iomt-2127 | execution_time: 0.238876s | queueing_delay: 0.000583s
RAW_DATA | iomt-2824 | execution_time: 0.370609s | queueing_delay: 0.000951s
RAW_DATA | iomt-3647 | execution_time: 0.483163s | queueing_delay: 0.000867s
RAW_DATA | iomt-2127 | execution_time: 0.411607s | queueing_delay: 0.000750s
RAW_DATA | iomt-3546 | execution_time: 0.404893s | queueing_delay: 0.006195s
RAW_DATA | iomt-2824 | execution_time: 0.246016s | queueing_delay: 0.000528s
RAW_DATA | iomt-3647 | execution_time: 0.252614s | queueing_delay: 0.000767s
RAW_DATA | iomt-2127 | execution_time: 0.242728s | queueing_delay: 0.000619s
RAW_DATA | iomt-3546 | execution_time: 0.419110s | queueing_delay: 0.000664s
RAW_DATA | iomt-3647 | execution_time: 0.228189s | queueing_delay: 0.000890s
RAW_DATA | iomt-2127 | execution_time: 0.519032s | queueing_delay: 0.001023s
RAW_DATA | iomt-2824 | execution_time: 0.542034s | queueing_delay: 0.000841s
RAW_DATA | iomt-2127 | execution_time: 0.249075s | queueing_delay: 0.000772s
RAW_DATA | iomt-3647 | execution_time: 0.541188s | queueing_delay: 0.000785s
RAW_DATA | iomt-2824 | execution_time: 0.704663s | queueing_delay: 0.006128s
RAW_DATA | iomt-3546 | execution_time: 0.516230s | queueing_delay: 0.018314s
RAW_DATA | iomt-2127 | execution_time: 0.247738s | queueing_delay: 0.000728s
RAW_DATA | iomt-2824 | execution_time: 0.545859s | queueing_delay: 0.000760s
RAW_DATA | iomt-3546 | execution_time: 0.536927s | queueing_delay: 0.000488s
RAW_DATA | iomt-2127 | execution_time: 0.227365s | queueing_delay: 0.000723s
RAW_DATA | iomt-3647 | execution_time: 0.295443s | queueing_delay: 0.000782s
RAW_DATA | iomt-2824 | execution_time: 0.420286s | queueing_delay: 0.000716s
RAW_DATA | iomt-3546 | execution_time: 0.500583s | queueing_delay: 0.001043s
RAW_DATA | iomt-3647 | execution_time: 0.300503s | queueing_delay: 0.001466s
RAW_DATA | iomt-2127 | execution_time: 0.302040s | queueing_delay: 0.000751s
RAW_DATA | iomt-2127 | execution_time: 0.245313s | queueing_delay: 0.000649s
RAW_DATA | iomt-3546 | execution_time: 0.509953s | queueing_delay: 0.000721s
RAW_DATA | iomt-2824 | execution_time: 0.570323s | queueing_delay: 0.000780s
RAW_DATA | iomt-3647 | execution_time: 0.245944s | queueing_delay: 0.000649s
RAW_DATA | iomt-2127 | execution_time: 0.248842s | queueing_delay: 0.000694s
RAW_DATA | iomt-2824 | execution_time: 0.243498s | queueing_delay: 0.000727s
RAW_DATA | iomt-3647 | execution_time: 0.253665s | queueing_delay: 0.000899s
RAW_DATA | iomt-3546 | execution_time: 0.247856s | queueing_delay: 0.000749s
RAW_DATA | iomt-2127 | execution_time: 0.247387s | queueing_delay: 0.000819s
RAW_DATA | iomt-2824 | execution_time: 0.279470s | queueing_delay: 0.000820s
RAW_DATA | iomt-2824 | execution_time: 0.298287s | queueing_delay: 0.000832s
RAW_DATA | iomt-3647 | execution_time: 0.507991s | queueing_delay: 0.000779s
RAW_DATA | iomt-3546 | execution_time: 0.505291s | queueing_delay: 0.053900s
RAW_DATA | iomt-2127 | execution_time: 0.237677s | queueing_delay: 0.000751s
RAW_DATA | iomt-2824 | execution_time: 0.293778s | queueing_delay: 0.000595s
RAW_DATA | iomt-3647 | execution_time: 0.408122s | queueing_delay: 0.000634s
RAW_DATA | iomt-2127 | execution_time: 0.420946s | queueing_delay: 0.000638s
RAW_DATA | iomt-3546 | execution_time: 0.443912s | queueing_delay: 0.045995s
RAW_DATA | iomt-2824 | execution_time: 0.273081s | queueing_delay: 0.000727s
RAW_DATA | iomt-3546 | execution_time: 0.368278s | queueing_delay: 0.000815s
RAW_DATA | iomt-2127 | execution_time: 0.324220s | queueing_delay: 0.012145s
RAW_DATA | iomt-3647 | execution_time: 0.418377s | queueing_delay: 0.064966s
RAW_DATA | iomt-3546 | execution_time: 0.223882s | queueing_delay: 0.000844s
RAW_DATA | iomt-2824 | execution_time: 0.249442s | queueing_delay: 0.000657s
RAW_DATA | iomt-3647 | execution_time: 0.291619s | queueing_delay: 0.000711s
RAW_DATA | iomt-2127 | execution_time: 0.248632s | queueing_delay: 0.000667s
RAW_DATA | iomt-3546 | execution_time: 0.222840s | queueing_delay: 0.000610s
RAW_DATA | iomt-2824 | execution_time: 0.243337s | queueing_delay: 0.000779s
RAW_DATA | iomt-3647 | execution_time: 0.245223s | queueing_delay: 0.000767s
RAW_DATA | iomt-2127 | execution_time: 0.238770s | queueing_delay: 0.000642s
RAW_DATA | iomt-3546 | execution_time: 0.293115s | queueing_delay: 0.000769s
RAW_DATA | iomt-2824 | execution_time: 0.283688s | queueing_delay: 0.000682s
RAW_DATA | iomt-3647 | execution_time: 0.272023s | queueing_delay: 0.001001s
RAW_DATA | iomt-2127 | execution_time: 0.239719s | queueing_delay: 0.000631s
RAW_DATA | iomt-3546 | execution_time: 0.247609s | queueing_delay: 0.000877s
RAW_DATA | iomt-2824 | execution_time: 0.395445s | queueing_delay: 0.000766s
RAW_DATA | iomt-2127 | execution_time: 0.296268s | queueing_delay: 0.000733s
RAW_DATA | iomt-3647 | execution_time: 0.466797s | queueing_delay: 0.000913s
RAW_DATA | iomt-3546 | execution_time: 0.246015s | queueing_delay: 0.000579s
RAW_DATA | iomt-2824 | execution_time: 0.403538s | queueing_delay: 0.000738s
RAW_DATA | iomt-3647 | execution_time: 0.263024s | queueing_delay: 0.000685s
RAW_DATA | iomt-2127 | execution_time: 0.502148s | queueing_delay: 0.001040s
RAW_DATA | iomt-3647 | execution_time: 0.245860s | queueing_delay: 0.000700s
RAW_DATA | iomt-2824 | execution_time: 0.273089s | queueing_delay: 0.000747s
RAW_DATA | iomt-3546 | execution_time: 0.262255s | queueing_delay: 0.000755s
RAW_DATA | iomt-2127 | execution_time: 0.264062s | queueing_delay: 0.000965s
RAW_DATA | iomt-3546 | execution_time: 0.239149s | queueing_delay: 0.000628s
RAW_DATA | iomt-2824 | execution_time: 0.525166s | queueing_delay: 0.000660s
RAW_DATA | iomt-3647 | execution_time: 0.530699s | queueing_delay: 0.000700s
RAW_DATA | iomt-2127 | execution_time: 0.246681s | queueing_delay: 0.000744s
RAW_DATA | iomt-3546 | execution_time: 0.256188s | queueing_delay: 0.000613s
RAW_DATA | iomt-2824 | execution_time: 0.295560s | queueing_delay: 0.000757s
RAW_DATA | iomt-3647 | execution_time: 0.247231s | queueing_delay: 0.000688s
RAW_DATA | iomt-2127 | execution_time: 0.243210s | queueing_delay: 0.000598s
RAW_DATA | iomt-3647 | execution_time: 0.199287s | queueing_delay: 0.000566s
RAW_DATA | iomt-3546 | execution_time: 0.250441s | queueing_delay: 0.000781s
RAW_DATA | iomt-2824 | execution_time: 0.301276s | queueing_delay: 0.000636s
RAW_DATA | iomt-2127 | execution_time: 0.263562s | queueing_delay: 0.000966s
RAW_DATA | iomt-3647 | execution_time: 0.248574s | queueing_delay: 0.000791s
RAW_DATA | iomt-2824 | execution_time: 0.243570s | queueing_delay: 0.000743s
RAW_DATA | iomt-2127 | execution_time: 0.244923s | queueing_delay: 0.000683s
RAW_DATA | iomt-3546 | execution_time: 0.284171s | queueing_delay: 0.000734s
RAW_DATA | iomt-2824 | execution_time: 0.592998s | queueing_delay: 0.000751s
RAW_DATA | iomt-3647 | execution_time: 0.590905s | queueing_delay: 0.000559s
RAW_DATA | iomt-2127 | execution_time: 0.407707s | queueing_delay: 0.000675s
RAW_DATA | iomt-3546 | execution_time: 0.519168s | queueing_delay: 0.011245s
