epoch_s,name,response_time_ms,success
1776346229.982778,/collect,300.81,1
1776346229.991006,/collect,318.7,1
1776346230.837778,/collect,264.03,1
1776346231.290512,/collect,294.26,1
1776346232.472316,/collect,230.59,1
1776346232.422683,/collect,280.87,1
1776346233.823208,/collect,261.22,1
1776346234.033421,/collect,264.37,1
1776346235.163411,/collect,296.44,1
1776346235.221540,/collect,324.03,1
1776346236.230984,/collect,270.29,1
1776346236.972343,/collect,252.03,1
1776346237.807539,/collect,263.38,1
1776346238.380789,/collect,320.82,1
1776346239.111146,/collect,275.86,1
1776346239.293171,/collect,279.61,1
1776346240.441332,/collect,262.25,1
1776346241.016490,/collect,261.19,1
1776346241.363298,/collect,316.56,1
1776346242.649788,/collect,263.46,1
1776346242.720390,/collect,259.16,1
1776346243.550377,/collect,286.01,1
1776346243.899909,/collect,310.34,1
1776346245.210066,/collect,297.58,1
1776346245.706346,/collect,266.11,1
1776346246.072574,/collect,246.14,1
1776346247.057677,/collect,409.35,1
1776346247.181423,/collect,482.98,1
1776346248.391570,/collect,260.1,1
1776346248.632280,/collect,354.97,1
1776346249.402847,/collect,300.73,1
1776346250.411434,/collect,292.98,1
1776346251.130589,/collect,274.4,1
1776346252.107647,/collect,263.52,1
1776346252.690977,/collect,266.85,1
1776346253.027061,/collect,256.85,1
1776346254.206863,/collect,262.36,1
1776346254.746101,/collect,288.91,1
1776346255.373996,/collect,280.54,1
1776346256.101133,/collect,303.6,1
1776346256.287010,/collect,285.56,1
1776346257.142505,/collect,318.65,1
1776346257.254804,/collect,314.33,1
1776346258.813491,/collect,259.85,1
1776346258.852163,/collect,261.56,1
1776346259.659839,/collect,263.6,1
1776346260.403865,/collect,258.88,1
1776346260.976585,/collect,235.58,1
1776346261.710150,/collect,266.52,1
1776346262.077542,/collect,221.25,1
1776346263.258165,/collect,311.75,1
1776346263.610577,/collect,259.61,1
1776346264.874412,/collect,224.75,1
1776346265.229734,/collect,268.93,1
1776346266.396206,/collect,256.38,1
1776346266.864297,/collect,246.49,1
1776346267.689986,/collect,258.41,1
1776346268.596205,/collect,257.16,1
1776346268.885900,/collect,228.6,1
1776346269.790765,/collect,262.45,1
1776346270.463993,/collect,250.88,1
1776346270.850508,/collect,301.14,1
1776346271.390466,/collect,257.61,1
1776346272.082677,/collect,227.68,1
1776346273.050433,/collect,303.85,1
1776346273.562995,/collect,295.41,1
1776346274.743250,/collect,290.11,1
1776346274.839529,/collect,260.17,1
1776346275.783883,/collect,257.73,1
1776346276.449455,/collect,254.46,1
1776346277.493240,/collect,216.18,1
1776346277.949065,/collect,258.38,1
1776346278.980826,/collect,274.78,1
1776346278.987777,/collect,271.34,1
1776346279.967228,/collect,257.61,1
1776346280.172827,/collect,297.85,1
1776346281.579907,/collect,272.97,1
1776346281.925395,/collect,260.98,1
1776346282.844742,/collect,258.63,1
1776346283.486245,/collect,259.06,1
1776346284.196147,/collect,267.56,1
1776346284.506272,/collect,256.83,1
1776346285.243694,/collect,258.46,1
1776346285.316165,/collect,263.0,1
1776346286.644842,/collect,255.77,1
1776346286.672164,/collect,264.93,1
1776346287.714479,/collect,266.15,1
1776346288.115127,/collect,259.52,1
1776346288.997856,/collect,261.38,1
1776346289.311776,/collect,262.54,1
1776346290.068296,/collect,279.81,1
1776346290.101292,/collect,259.27,1
1776346290.071056,/collect,334.46,1
1776346290.535144,/collect,260.78,1
1776346291.242594,/collect,261.76,1
1776346291.068225,/collect,525.32,1
1776346291.069748,/collect,524.61,1
1776346291.419503,/collect,436.84,1
1776346291.636815,/collect,257.91,1
1776346291.529988,/collect,451.16,1
1776346292.070223,/collect,248.28,1
1776346292.069263,/collect,333.37,1
1776346292.215212,/collect,438.41,1
1776346292.286889,/collect,493.44,1
1776346292.556384,/collect,263.05,1
1776346292.765238,/collect,237.74,1
1776346292.920074,/collect,260.56,1
1776346293.297189,/collect,260.64,1
1776346293.334063,/collect,258.71,1
1776346293.717344,/collect,465.56,1
1776346293.987437,/collect,321.85,1
1776346294.111245,/collect,270.5,1
1776346293.725272,/collect,753.08,1
1776346293.888184,/collect,703.1,1
1776346294.467367,/collect,261.55,1
1776346294.494101,/collect,391.59,1
1776346294.783442,/collect,254.84,1
1776346294.956282,/collect,264.86,1
1776346295.320672,/collect,254.64,1
1776346295.350465,/collect,264.49,1
1776346295.507681,/collect,258.72,1
1776346295.534500,/collect,263.62,1
1776346295.707497,/collect,273.11,1
1776346295.940713,/collect,536.07,1
1776346295.939766,/collect,540.48,1
1776346296.482648,/collect,225.99,1
1776346296.554521,/collect,244.4,1
1776346296.818396,/collect,264.43,1
1776346297.003874,/collect,258.52,1
1776346296.851097,/collect,519.07,1
1776346296.896854,/collect,515.33,1
1776346297.453681,/collect,259.08,1
1776346297.460386,/collect,253.35,1
1776346297.717292,/collect,291.11,1
1776346298.057018,/collect,240.8,1
1776346298.120503,/collect,356.81,1
1776346298.252325,/collect,425.04,1
1776346298.676522,/collect,338.23,1
1776346298.671000,/collect,344.24,1
1776346298.901292,/collect,371.08,1
1776346299.013236,/collect,260.79,1
1776346299.013830,/collect,446.53,1
1776346299.079225,/collect,574.86,1
1776346299.503052,/collect,404.19,1
1776346299.673618,/collect,240.39,1
1776346299.744507,/collect,314.37,1
1776346299.974115,/collect,247.16,1
1776346299.957462,/collect,296.92,1
1776346300.346077,/collect,263.46,1
1776346300.618984,/collect,286.8,1
1776346300.691453,/collect,288.09,1
1776346300.767040,/collect,255.68,1
1776346301.147756,/collect,268.33,1
1776346301.015086,/collect,456.71,1
1776346301.082078,/collect,493.1,1
1776346301.801605,/collect,256.97,1
1776346301.631708,/collect,441.31,1
1776346301.745560,/collect,450.09,1
1776346302.112378,/collect,263.25,1
1776346302.024581,/collect,416.81,1
1776346302.162398,/collect,709.84,1
1776346302.325250,/collect,619.29,1
1776346302.796270,/collect,269.64,1
1776346302.936812,/collect,263.72,1
1776346303.022047,/collect,257.66,1
1776346303.081793,/collect,260.37,1
1776346303.338277,/collect,295.56,1
1776346303.772554,/collect,251.73,1
1776346303.815657,/collect,260.74,1
1776346303.843806,/collect,266.23,1
1776346304.178125,/collect,234.58,1
1776346304.161400,/collect,261.38,1
1776346304.155585,/collect,438.68,1
1776346304.244055,/collect,475.19,1
1776346304.788852,/collect,258.49,1
1776346305.186728,/collect,228.72,1
1776346305.322693,/collect,261.05,1
1776346305.398479,/collect,260.83,1
1776346305.163147,/collect,597.82,1
1776346305.600399,/collect,286.3,1
1776346305.150239,/collect,832.14,1
1776346305.305689,/collect,764.04,1
1776346305.985816,/collect,257.35,1
1776346306.135190,/collect,255.37,1
1776346306.501307,/collect,253.29,1
1776346306.632026,/collect,257.26,1
1776346306.826159,/collect,263.18,1
1776346307.236548,/collect,261.8,1
1776346307.821289,/collect,256.85,1
1776346307.013892,/collect,1073.18,1
1776346307.108810,/collect,1060.59,1
1776346307.259771,/collect,1036.99,1
1776346307.256262,/collect,1114.9,1
1776346308.258662,/collect,255.87,1
1776346308.200886,/collect,362.55,1
1776346308.399623,/collect,365.6,1
1776346308.784805,/collect,301.66,1
1776346308.747156,/collect,426.58,1
1776346308.873597,/collect,689.4,1
1776346309.098540,/collect,578.69,1
1776346309.568552,/collect,312.01,1
1776346309.707758,/collect,404.79,1
1776346309.898052,/collect,215.22,1
1776346309.823724,/collect,484.61,1
1776346310.105375,/collect,261.81,1
1776346310.413682,/collect,265.11,1
1776346310.628218,/collect,306.6,1
1776346310.564576,/collect,422.7,1
1776346310.865504,/collect,271.6,1
1776346310.664140,/collect,503.93,1
1776346311.393704,/collect,293.48,1
1776346311.465342,/collect,238.93,1
1776346311.470915,/collect,272.65,1
1776346311.589480,/collect,389.51,1
1776346311.774118,/collect,232.07,1
1776346312.280307,/collect,426.61,1
1776346312.504429,/collect,261.94,1
1776346312.573138,/collect,241.37,1
1776346312.408813,/collect,445.26,1
1776346313.023818,/collect,265.34,1
1776346313.192049,/collect,222.06,1
1776346313.323710,/collect,262.2,1
1776346313.730446,/collect,259.11,1
1776346313.502702,/collect,583.82,1
1776346313.446613,/collect,726.19,1
1776346313.710518,/collect,660.84,1
1776346314.310421,/collect,260.36,1
1776346314.549071,/collect,340.26,1
1776346314.750696,/collect,531.88,1
1776346314.991671,/collect,499.63,1
1776346315.013797,/collect,572.21,1
1776346314.947924,/collect,714.15,1
1776346315.245774,/collect,517.98,1
1776346315.565837,/collect,248.46,1
1776346315.627541,/collect,531.33,1
1776346315.699598,/collect,558.95,1
1776346316.564260,/collect,257.51,1
1776346316.830246,/collect,260.51,1
1776346316.858330,/collect,298.19,1
1776346316.839827,/collect,344.78,1
1776346316.860362,/collect,404.48,1
1776346317.088506,/collect,301.1,1
1776346317.087234,/collect,336.42,1
1776346316.981420,/collect,481.27,1
1776346317.674431,/collect,260.91,1
1776346317.900601,/collect,265.77,1
1776346318.163759,/collect,254.91,1
1776346318.362046,/collect,238.18,1
1776346318.584357,/collect,301.15,1
1776346318.366709,/collect,590.69,1
1776346318.377365,/collect,583.68,1
1776346318.736907,/collect,267.82,1
1776346318.868626,/collect,316.75,1
1776346318.923144,/collect,342.19,1
1776346319.328814,/collect,261.36,1
1776346319.618670,/collect,284.64,1
1776346319.690675,/collect,291.33,1
1776346319.584615,/collect,406.19,1
1776346319.882696,/collect,391.05,1
1776346319.746379,/collect,549.33,1
1776346319.976973,/collect,498.05,1
1776346320.722766,/collect,259.39,1
1776346320.888921,/collect,259.89,1
1776346320.811415,/collect,526.28,1
1776346320.837019,/collect,545.15,1
1776346321.173469,/collect,261.71,1
1776346321.491585,/collect,253.14,1
1776346321.470690,/collect,510.33,1
1776346321.557353,/collect,467.04,1
1776346322.155448,/collect,261.62,1
1776346322.436450,/collect,258.81,1
1776346322.428676,/collect,340.42,1
1776346322.725843,/collect,262.43,1
1776346322.609142,/collect,379.76,1
1776346322.761740,/collect,252.57,1
1776346323.010382,/collect,336.27,1
1776346323.257089,/collect,328.66,1
1776346323.514413,/collect,258.86,1
1776346323.566957,/collect,256.74,1
1776346323.812826,/collect,308.48,1
1776346324.073239,/collect,295.29,1
1776346324.090009,/collect,361.74,1
1776346324.249987,/collect,263.45,1
1776346324.286692,/collect,366.16,1
1776346324.792569,/collect,255.02,1
1776346324.793494,/collect,256.26,1
1776346324.829256,/collect,458.4,1
1776346324.858241,/collect,538.11,1
1776346325.787644,/collect,260.33,1
1776346325.298246,/collect,904.31,1
1776346325.264462,/collect,1025.42,1
1776346325.299914,/collect,1056.73,1
1776346325.649081,/collect,840.32,1
1776346326.321395,/collect,263.67,1
1776346326.810681,/collect,257.55,1
1776346326.669520,/collect,524.81,1
1776346326.748128,/collect,539.27,1
1776346327.116832,/collect,262.43,1
1776346327.553855,/collect,260.34,1
1776346327.655639,/collect,254.07,1
1776346327.702425,/collect,258.1,1
1776346327.841717,/collect,314.9,1
1776346327.774175,/collect,525.35,1
1776346327.796774,/collect,586.8,1
1776346328.172292,/collect,297.96,1
1776346328.327095,/collect,265.47,1
1776346328.539729,/collect,257.91,1
1776346328.965400,/collect,389.51,1
1776346329.116798,/collect,440.79,1
1776346329.114292,/collect,443.97,1
1776346329.394472,/collect,221.16,1
1776346329.222159,/collect,516.27,1
1776346329.555702,/collect,333.95,1
1776346329.780083,/collect,342.69,1
1776346330.105623,/collect,263.82,1
1776346330.120404,/collect,385.99,1
1776346330.282198,/collect,265.82,1
1776346330.262167,/collect,421.48,1
1776346330.762237,/collect,247.58,1
1776346330.786870,/collect,261.86,1
1776346331.087253,/collect,258.41,1
1776346331.105788,/collect,400.44,1
1776346331.214100,/collect,450.32,1
1776346331.507571,/collect,205.13,1
1776346331.689012,/collect,385.43,1
1776346331.871236,/collect,242.66,1
1776346332.147308,/collect,264.17,1
1776346331.825372,/collect,718.16,1
1776346331.925038,/collect,619.11,1
1776346332.306002,/collect,260.22,1
1776346332.553465,/collect,255.18,1
1776346332.714810,/collect,259.02,1
1776346332.857229,/collect,305.2,1
1776346333.143777,/collect,258.79,1
1776346333.054392,/collect,364.18,1
1776346333.425084,/collect,453.15,1
1776346333.629401,/collect,260.43,1
1776346333.727019,/collect,261.64,1
1776346333.541669,/collect,460.14,1
1776346333.974400,/collect,437.13,1
1776346334.210125,/collect,267.07,1
1776346334.087577,/collect,470.1,1
1776346334.395964,/collect,272.82,1
1776346334.586248,/collect,262.1,1
1776346334.652228,/collect,261.26,1
1776346334.809508,/collect,261.75,1
1776346335.009823,/collect,292.75,1
1776346335.112984,/collect,254.64,1
1776346335.464349,/collect,248.87,1
1776346335.562535,/collect,240.47,1
1776346335.886598,/collect,320.23,1
1776346336.098596,/collect,486.15,1
1776346336.143817,/collect,545.92,1
1776346336.435248,/collect,258.97,1
1776346336.273367,/collect,438.62,1
1776346336.367452,/collect,410.47,1
1776346336.379712,/collect,474.53,1
1776346336.445867,/collect,593.9,1
1776346336.789500,/collect,406.9,1
